id,name
unspecified,Unspecified
ldv-car,LDV Car
ldv-car-phev,LDV Car PHEV
ldv-light-truck,LDV Light Truck
ldv-light-truck-phev,LDV Light Truck PHEV
truck-light,Light Truck
truck-medium,Medium Truck
truck-heavy,Heavy Truck
transit-bus,Transit Bus
school-bus,School Bus
cement_concrete,Cement and Concrete
pesticides_fertilizer,Pesticides and Fertilizer
iron_steel,Iron and Steel
food_bev,Food and Beverage
chemical,Chemicals
pet_refinery,Petroleum Refineries
pulp_paper,Pulp and Paper
other,Other Industry
datacenter,Data Centers
mining,Mining
water_treatment,Water Supply and Treatment
construction,Construction
